ngram,hawk_score,dove_score,polarity
determination,1.0,0.13158923921987054,0.7674257855074876
fight,1.0,0.13197105044396876,0.7668296368671114
step_up,1.0,0.1326989319049535,0.7656942579052622
vacancy,1.0,0.13370554018278888,0.764126511790299
liftoff,1.0,0.13388628491528462,0.7638453049543895
soar,1.0,0.13396903561253676,0.7637165894213848
painful,1.0,0.13484047923672748,0.7623622320426591
bold,1.0,0.13502013335917062,0.76208328047967
raise,1.0,0.1357535626940317,0.7609453896459346
firm,1.0,0.13578221714246397,0.760900963066527
brake,1.0,0.13581870838775909,0.7608443893646596
restrict,1.0,0.13658604445187633,0.759655601758254
decisive,1.0,0.1373302208234675,0.7585042262852463
combat,1.0,0.13741749585521074,0.7583692947295695
outpace,1.0,0.13754861886393266,0.758166610933426
surge,1.0,0.13834367149955676,0.7569386557623418
commitment,1.0,0.14045325058767905,0.7536887189101298
tame,1.0,0.1404690006509336,0.7536645001823644
balance_sheet_runoff,1.0,0.14055103151678486,0.7535383728865332
inflation_expectation,1.0,0.14223584594494218,0.7509518783710134
hawkish,1.0,0.1425085496942583,0.7505339461443953
prudent,1.0,0.1432463735102284,0.7494041934803534
price_stability,1.0,0.14345286086963013,0.7490882820293441
policy_normalization,1.0,0.14417564011585293,0.7479833776197954
curb,1.0,0.14426357988379912,0.7478490403435732
hike,1.0,0.14444440306941256,0.7475728787138789
wage_growth,1.0,0.14495977941507399,0.7467862504495493
aggressive,1.0,0.14501012315277412,0.7467094478545043
labor_shortage,1.0,0.1451879889646114,0.7464381562438863
lift,1.0,0.1454417650351566,0.7460512276140157
full_employment,1.0,0.14572314482351942,0.7456224123918422
increase,1.0,0.14664313764154138,0.744221837069269
rate_hike,1.0,0.14671741382450115,0.7441088588073793
sticky,1.0,0.14685763032461477,0.7438956214939302
tight_labor_market,1.0,0.14725246477154094,0.7432954483983363
elevated,1.0,0.14726711663209802,0.7432731846016586
vigorous,1.0,0.14766044369012682,0.7426757286931539
inflationary,1.0,0.1480413746722178,0.7420974924105227
strong_growth,1.0,0.14805988033317222,0.7420694114139681
persistent,1.0,0.14941112466381276,0.740021439748091
inflation,1.0,0.14950984922475472,0.739871999660401
upside_risk,1.0,0.1498967572386199,0.7392865815213111
resilient,1.0,0.15085541700161997,0.737837760029577
price_pressure,1.0,0.15372865740117145,0.7335098570794757
tightening,1.0,0.15440250452192483,0.7324979737706514
much_surge_spending_producer_durable_equipment_attributable_pickup_purchase_motor_vehicle_aircraft,0.0,0.0,0.0
use_alternative_asset_open_market_operation_meet_committee_provide_guidance_staff_priority_continue_study_alternative_treasury_security_conduct_system_open_market_operation,0.0,0.0,0.0
order_ensure_effective_conduct_open_market_operation_assist_provision_short_term_investment_foreign_international_account_maintain_federal_reserve_bank_new_york_federal_open_market_committee_authorize_direct_federal_reserve_bank_new_york_system_open_market_account_sell_u_government_security_foreign_international_account_base_set_forth_paragraph_l_agreement_provide_resale_account_security_within_60_calendar_day_term_comparable_available_transaction_market_b_new_york_bank_account_appropriate_undertake_dealer_subject_condition_imposed_purchase_sale_security_paragraph_l_b_repurchase_agreement_u_government_agency_security_arrange_correspond_sale_repurchase_agreement_account_foreign_international_account_maintain_bank,0.0,0.0,0.0
light_recent_strengthen_dollar_external_sector_expect_exert_small_restrain_influence_real_activity_projection_period_whole,0.0,0.0,0.0
give_projected_outlook_rate_utilization_labor_capital_resource_inflation_expect_change_materially,0.0,0.0,0.0
already_apparent_time_march_meet_fiscal_policy_development_make_clear_earlier_concern_contract_supply_security_u_government_security_market_would_likely_impose_constraint_system_open_market_operation_near_term,0.0,0.0,0.0
data_shipment_nondefense_capital_good_december_indicate_rebound_business_spending_capital_good_notably_office_compute_communication_equipment_sizable_decline_october_november_period,0.0,0.0,0.0
manufacturing_inventory_climb_november_late_monthly_data_available_stock_shipment_ratio_top_narrow_range_past_twelve_month,0.0,0.0,0.0
business_fix_investment_pick_markedly_fourth_quarter_small_decline_previous_quarter,0.0,0.0,0.0
nonresidential_construction_activity_apparently_rise_moderately_fourth_quarter,0.0,0.0,0.0
business_spending_nonresidential_structure_decline_slightly_fourth_quarter_despite_rise_real_estate_price_fall_vacancy_rate,0.0,0.0,0.0
pace_business_inventory_investment_evidently_pick_somewhat_fourth_quarter,0.0,0.0,0.0
economic_growth_china_remain_strong,0.0,0.0,0.0
growth_m2_m3_slow_second_quarter_remain_fairly_robust,0.0,0.0,0.0
elsewhere_investment_high_tech_equipment_expand_rapidly_spend_type_durable_equipment_decelerate_somewhat,0.0,0.0,0.0
member_comment_regard_business_firm_across_country_continue_improve_efficiency_operation_variety_way_order_hold_cost,0.0,0.0,0.0
office_construction_pick_environment_fall_vacancy_rate_rise_rental_cost_building_activity_remain_sluggish,0.0,0.0,0.0
decline_mortgage_rate_recently_already_favorable_level_would_help_sustain_homebuilding_activity_relatively_high_level,0.0,0.0,0.0
outlook_incorporate_possible_enactment_tax_cut_legislation_whose_prospect_seem_remote,0.0,0.0,0.0
perhaps_critical_element_outlook_persistence_elevate_growth_structural_labor_productivity_seem_likely_play_vital_role_support_growth_income_aggregate_demand_also_help_limit_inflation_pressure,0.0,0.0,0.0
decline_energy_price_materialize_anticipated_future_market_would_positive_effect_business_consumer_spending_lowering_business_cost_raise_disposable_consumer_income_adjust_energy_cost,0.0,0.0,0.0
forecast_materially_different_prepared_december_meeting_except_slightly_weak_outlook_current_quarter_related_part_inventory_correction_effect_unusually_severe_winter_weather_spending_output,0.0,0.0,0.0
partial_offset_federal_government_stimulus_likelihood_considerably_reduce_spending_growth_state_local_government_level_numerous_government_entity_experience_severe_budget_strain_associate_recession_relate_weakness_tax_revenue,0.0,0.0,0.0
prospect_fiscal_policy_might_begin_move_expansionary_direction_later_year_cite_another_factor_outlook_strong_economic_activity,0.0,0.0,0.0
several_comment_sound_condition_banking_system_another_supportive_factor,0.0,0.0,0.0
